,Above-ground Organs,,,Roots,,
,Darselect,Elsanta,Monterey,Darselect,Elsanta,Monterey
"Macro-elements, % dry weight",,,,,,
C,43.50 ± 0.82,44.40 ± 0.98,43.11 ± 0.83,46.20 ± 3.13,48.25 ± 0.54,45.77 ± 0.58
N,3.25 ± 0.43,3.02 ± 0.34,3.36 ± 0.49,1.36 ± 0.10,1.09 ± 0.15,1.60 ± 0.11
H,5.75 ± 0.12,5.73 ± 0.14,5.52 ± 0.13,5.10 ± 0.23,5.23 ± 0.04,5.24 ± 0.21
"Macro-elements, µg/g",,,,,,
P,4425.60 ± 1021.05,3099.75 ± 905.37,5598.78 ± 528.59,1285.95 ± 198.23,752.55 ± 124.10,1544.53 ± 431.20
K,31527 ± 5251.49,17834.63 ± 4314.25,30119.10 ± 1284.10,1158.75 ± 249.05,822.30 ± 424.05,1657.15 ± 1271.44
Ca,14685.33 ± 1708.42,11495.10 ± 1281.37,10188.78 ± 978.89,11636.68 ± 2139.82,12512.58 ± 1943.92,17586.35 ± 1616.47
Mg,4117.93 ± 615.78,4675 ± 731.02,5103.70 ± 669.97,2600.35 ± 346.89,2174.43 ± 246.41,3638.43 ± 579.04
"Micro-elements, µg/g",,,,,,
B,59.90 ± 6.93,65.18 ± 19.91,67.65 ± 9.26,24.53 ± 3.66,19.33 ± 0.56,33.18 ± 2.55
Mn,32.88 ± 5.39,86.88 ± 55.97,41.20 ± 15.08,45.43 ± 31.63,35.83 ± 24.36,74.75 ± 23.16
Fe,71.08 ± 10.45,89.85 ± 18.70,106.68 ± 17.44,517.95 ± 281.97,218.08 ± 73.42,533.83 ± 387.58
Co,0.00 ± 0.00,0.03 ± 0.05,0.00 ± 0.00,0.25 ± 0.13,0.20 ± 0.00,0.48 ± 0.42
Ni,0.30 ± 0.14,0.45 ± 0.24,0.30 ± 0.00,0.90 ± 0.37,0.65 ± 0.13,1.83 ± 0.77
Zn,23.43 ± 3.29,21.70 ± 9.35,29.60 ± 7.66,81.73 ± 28.97,39.68 ± 18.35,26.58 ± 3.01
Sr,93.28 ± 14.46,77.08 ± 10.84,63.88 ± 7.85,82.70 ± 15.55,81.25 ± 10.09,132.40 ± 5.35
Mo,0.95 ± 0.37,1.08 ± 0.36,2.25 ± 0.44,14.33 ± 5.94,19.40 ± 15.72,24.90 ± 7.58
Ba,24.68 ± 4.10,22.68 ± 4.77,16.78 ± 4.74,15.93 ± 4.35,9.80 ± 1.39,31.53 ± 9.11
Pb,0.23 ± 0.05,0.13 ± 0.05,0.18 ± 0.10,3.98 ± 1.89,2.53 ± 0.50,1.35 ± 0.57
